name,latitude,longitude,prefecture,description,url
くろんど池,34.762231,135.714386,京都府,くろんど池とは、奈良県生駒市にある湖（池）・ダムの心霊スポットです。老爺、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1222&utm_source=mymap
鶴見緑地公園,34.714415,135.580279,京都府,鶴見緑地公園とは、大阪府大阪市にある公園・城跡の心霊スポットです。女性、動物、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1402&utm_source=mymap
アジャリの森（歩人山神社）,34.842998,135.604023,京都府,アジャリの森（歩人山神社）とは、大阪府高槻市にある山・森の心霊スポットです。少女、女性、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1404&utm_source=mymap
モーテルサンリバー,34.988983,135.636614,京都府,モーテルサンリバーとは、京都府亀岡市にあるホテル・旅館の心霊スポットです。動物、少年、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1436&utm_source=mymap
元旅館の廃屋,34.885047,135.698212,京都府,元旅館の廃屋とは、京都府八幡市にあるホテル・旅館の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1502&utm_source=mymap
山中越え,35.040402,135.814529,京都府,山中越えとは、京都府京都市にある道・峠の心霊スポットです。男性、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1902&utm_source=mymap
魑魅魍魎狩籠の丘,35.076378,135.83587,京都府,魑魅魍魎狩籠の丘とは、滋賀県大津市にあるその他の心霊スポットです。正体不明、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2088&utm_source=mymap
大渕池,34.709218,135.748515,京都府,大渕池とは、奈良県奈良市にある湖（池）・ダムの心霊スポットです。少年、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2169&utm_source=mymap
曼殊院門跡,35.048909,135.802935,京都府,曼殊院門跡とは、京都府京都市にある神社・寺の心霊スポットです。正体不明、男性、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2197&utm_source=mymap
服部天神駅前のクスノキ,34.763444,135.475436,京都府,服部天神駅前のクスノキとは、大阪府豊中市にある駅・踏切の心霊スポットです。正体不明、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2316&utm_source=mymap
三段池公園,35.309994,135.136162,京都府,三段池公園とは、京都府福知山市にある公園・城跡の心霊スポットです。少年、男性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2360&utm_source=mymap
永谷集落の廃寺(長泉寺?)　,35.377108,135.742197,京都府,永谷集落の廃寺(長泉寺?)　とは、福井県おおい町にある神社・寺の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2409&utm_source=mymap
野宮踏切,35.018163,135.674257,京都府,野宮踏切とは、京都府京都市にある駅・踏切の心霊スポットです。男性、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2529&utm_source=mymap
天若トンネル,35.138941,135.531569,京都府,天若トンネルとは、京都府南丹市にあるトンネルの心霊スポットです。少女、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2650&utm_source=mymap
京都御苑の廃トイレ,35.017591,135.762553,京都府,京都御苑の廃トイレとは、京都府京都市にあるその他の心霊スポットです。少女、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2698&utm_source=mymap
墓池,35.058992,135.73934,京都府,墓池とは、京都府京都市にある湖（池）・ダムの心霊スポットです。老爺、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2780&utm_source=mymap
山田池公園,34.819855,135.689457,京都府,山田池公園とは、大阪府枚方市にある公園・城跡の心霊スポットです。少年、女性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2790&utm_source=mymap
耳原公園,34.840202,135.559102,京都府,耳原公園とは、大阪府茨木市にある公園・城跡の心霊スポットです。動物、正体不明、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2794&utm_source=mymap
新幹線公園,34.775063,135.566676,京都府,新幹線公園とは、大阪府摂津市にある公園・城跡の心霊スポットです。正体不明、少年、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2795&utm_source=mymap
西河原公園,34.833004,135.57395,京都府,西河原公園とは、大阪府茨木市にある公園・城跡の心霊スポットです。老婆、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2796&utm_source=mymap
市場池公園,34.787479,135.538716,京都府,市場池公園とは、大阪府摂津市にある公園・城跡の心霊スポットです。少年、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2806&utm_source=mymap
試峠,35.03413,135.660626,京都府,試峠とは、京都府京都市にある道・峠の心霊スポットです。少女、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2858&utm_source=mymap
樫田トンネル,34.964932,135.58797,京都府,樫田トンネルとは、大阪府高槻市にあるトンネルの心霊スポットです。老爺、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2862&utm_source=mymap
淀川橋梁(赤川鉄橋),34.730503,135.526872,京都府,淀川橋梁(赤川鉄橋)とは、大阪府大阪市にある橋の心霊スポットです。少女、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2963&utm_source=mymap
農大の化けトン,35.323699,135.240051,京都府,農大の化けトンとは、京都府綾部市にあるトンネルの心霊スポットです。正体不明、女性、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2977&utm_source=mymap
夜逃げ中国人一家の洋館,35.319312,135.225442,京都府,夜逃げ中国人一家の洋館とは、京都府綾部市にある住居の心霊スポットです。正体不明、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2978&utm_source=mymap
千日墓地,34.7293,135.879625,京都府,千日墓地とは、京都府木津川市にある墓地・慰霊碑の心霊スポットです。老爺、少年、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2988&utm_source=mymap
府道47号線付近,34.756722,135.848794,京都府,府道47号線付近とは、京都府木津川市にある道・峠の心霊スポットです。男性、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2991&utm_source=mymap
宝ヶ池狐坂,35.054496,135.777461,京都府,宝ヶ池狐坂とは、京都府京都市にある道・峠の心霊スポットです。正体不明、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3053&utm_source=mymap
宝池隧道(宝ヶ池トンネル),35.05801,135.777226,京都府,宝池隧道(宝ヶ池トンネル)とは、京都府京都市にあるトンネルの心霊スポットです。老婆、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3054&utm_source=mymap
小倉池,35.018035,135.669992,京都府,小倉池とは、京都府京都市にある湖（池）・ダムの心霊スポットです。女性、男性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3070&utm_source=mymap
大沢の杉の木,34.914792,135.64182,京都府,大沢の杉の木とは、大阪府島本町にある樹木の心霊スポットです。女性、動物、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3071&utm_source=mymap
京阪萱島駅のクスノキ,34.747287,135.611388,京都府,京阪萱島駅のクスノキとは、大阪府寝屋川市にある樹木の心霊スポットです。正体不明、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3126&utm_source=mymap
六角獄舎の首洗井,35.007345,135.746822,京都府,六角獄舎の首洗井とは、京都府京都市にある墓地・慰霊碑の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3211&utm_source=mymap
十三大橋,34.71419,135.486027,京都府,十三大橋とは、大阪府大阪市にある橋の心霊スポットです。女性、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3215&utm_source=mymap
円山公園の弁天堂前公衆トイレ,35.003285,135.783322,京都府,円山公園の弁天堂前公衆トイレとは、京都府京都市にある公園・城跡の心霊スポットです。男性、女性、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3240&utm_source=mymap
岩倉児童公園,35.07918,135.782361,京都府,岩倉児童公園とは、京都府京都市にある公園・城跡の心霊スポットです。男性、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3246&utm_source=mymap
日吉ダム(天若湖)　,35.147735,135.518053,京都府,日吉ダム(天若湖)　とは、京都府南丹市にある湖（池）・ダムの心霊スポットです。老婆、女性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3259&utm_source=mymap
念仏峠,35.451334,135.282336,京都府,念仏峠とは、京都府舞鶴市にある道・峠の心霊スポットです。男性、老爺、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3267&utm_source=mymap
粟田口刑場跡,35.000674,135.792963,京都府,粟田口刑場跡とは、京都府京都市にある墓地・慰霊碑の心霊スポットです。男性、老爺、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3273&utm_source=mymap
沢良宜公園 ,34.787953,135.56463,京都府,沢良宜公園 とは、大阪府茨木市にある公園・城跡の心霊スポットです。正体不明、少年、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3279&utm_source=mymap
岩屋山志明院,35.136064,135.70942,京都府,岩屋山志明院とは、京都府京都市にある神社・寺の心霊スポットです。正体不明、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3280&utm_source=mymap
府道40号線の幽霊街道(静原の幽霊),35.09821,135.772673,京都府,府道40号線の幽霊街道(静原の幽霊)とは、京都府京都市にある道・峠の心霊スポットです。老婆、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3290&utm_source=mymap
舞鶴クレインブリッジ,35.508548,135.391459,京都府,舞鶴クレインブリッジとは、京都府舞鶴市にある橋の心霊スポットです。少女、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3297&utm_source=mymap
五老ヶ岳,35.464812,135.34358,京都府,五老ヶ岳とは、京都府舞鶴市にある公園・城跡の心霊スポットです。正体不明、少女、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3307&utm_source=mymap
幣久良橋,34.838677,135.559022,京都府,幣久良橋とは、大阪府茨木市にある橋の心霊スポットです。少年、動物、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3336&utm_source=mymap
須波麻神社,34.704564,135.64983,京都府,須波麻神社とは、大阪府大東市にある神社・寺の心霊スポットです。老爺、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3350&utm_source=mymap
