name,latitude,longitude,prefecture,description,url
佐和山自歩道トンネル,35.276208,136.27108,滋賀県,佐和山自歩道トンネルとは、滋賀県彦根市にあるトンネルの心霊スポットです。男性、正体不明、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2032&utm_source=mymap
気比の松原,35.656058,136.048872,滋賀県,気比の松原とは、福井県敦賀市にある湖（池）・ダムの心霊スポットです。正体不明、男性、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2175&utm_source=mymap
海津大崎のトンネル,35.449182,136.087547,滋賀県,海津大崎のトンネルとは、滋賀県高島市にあるトンネルの心霊スポットです。女性、男性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2268&utm_source=mymap
姉川古戦場（野村橋）,35.41637,136.32176,滋賀県,姉川古戦場（野村橋）とは、滋賀県長浜市にある橋の心霊スポットです。正体不明、少女、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2269&utm_source=mymap
吹田市立少年自然の家　,35.399893,135.980087,滋賀県,吹田市立少年自然の家　とは、滋賀県高島市にある公園・城跡の心霊スポットです。老婆、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2270&utm_source=mymap
曽根沼,35.242044,136.196587,滋賀県,曽根沼とは、滋賀県彦根市にある湖（池）・ダムの心霊スポットです。女性、少年、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2273&utm_source=mymap
血原公園,35.415408,136.314626,滋賀県,血原公園とは、滋賀県長浜市にある公園・城跡の心霊スポットです。男性、老爺、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2277&utm_source=mymap
長沢踏切,35.406615,136.261568,滋賀県,長沢踏切とは、滋賀県長浜市にある駅・踏切の心霊スポットです。少年、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2278&utm_source=mymap
土倉鉱山跡,35.591017,136.300678,滋賀県,土倉鉱山跡とは、滋賀県長浜市にあるその他の心霊スポットです。男性、老爺、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2279&utm_source=mymap
ゴルフ場近くの線路内に現れた女性の霊,34.995008,135.88453,滋賀県,ゴルフ場近くの線路内に現れた女性の霊とは、滋賀県大津市にある駅・踏切の心霊スポットです。少年、男性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2281&utm_source=mymap
黒丸PA(上り）,35.078969,136.192403,滋賀県,黒丸PA(上り）とは、滋賀県東近江市にある道・峠の心霊スポットです。老婆、少年、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2282&utm_source=mymap
伏見合戦跡,34.972088,135.773455,滋賀県,伏見合戦跡とは、京都府京都市にある公園・城跡の心霊スポットです。動物、少年、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2429&utm_source=mymap
水度神社,34.854735,135.789557,滋賀県,水度神社とは、京都府城陽市にある神社・寺の心霊スポットです。動物、老婆、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2507&utm_source=mymap
西野水道(西野放水路),35.466558,136.198073,滋賀県,西野水道(西野放水路)とは、滋賀県長浜市にある川・滝の心霊スポットです。老爺、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2560&utm_source=mymap
乃木神社前公衆トイレ,34.933364,135.775725,滋賀県,乃木神社前公衆トイレとは、京都府京都市にあるその他の心霊スポットです。少女、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=2914&utm_source=mymap
猪子山,35.171914,136.167083,滋賀県,猪子山とは、滋賀県東近江市にある山・森の心霊スポットです。少年、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3114&utm_source=mymap
賤ヶ岳トンネルの旧道にあるトンネル,35.498696,136.194015,滋賀県,賤ヶ岳トンネルの旧道にあるトンネルとは、滋賀県長浜市にあるトンネルの心霊スポットです。男性、老爺、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3159&utm_source=mymap
善光寺踏切近くの墓地,35.327725,136.298965,滋賀県,善光寺踏切近くの墓地とは、滋賀県米原市にある墓地・慰霊碑の心霊スポットです。正体不明、少女、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3219&utm_source=mymap
牛尾山,34.970277,135.849585,滋賀県,牛尾山とは、京都府京都市にある山・森の心霊スポットです。少女、女性、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=3228&utm_source=mymap
